ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),State,Total Towers(Present),Total Towers(before 5 years)
21515,Idea,GTower, 859.00 ,Sparrow,49,West Bengal,852,159
21516,Jio,MTower, 780.00 ,Spotted Dove,67,Andhra Pradesh,497,121
21517,Jio,LTower, 360.00 ,Kite,56,Arunachal Pradesh,638,80
21518,Airtel,MTower, 678.00 ,Bulbul,31,Assam,245,142
21519,BSNL,GTower, 433.00 ,Sparrow,29,Bihar,783,155
21520,Vodafone,LTower, 454.00 ,Bulbul,52,Chhattisgarh,200,227
21521,Idea,MTower, 589.00 ,Kite,46,Goa,213,89
21522,BSNL,GTower, 447.00 ,Spotted Dove,74,Gujarat,752,81
21523,Jio,LTower, 552.00 ,Sparrow,33,Haryana,857,116
21524,Airtel,GTower, 351.00 ,Sparrow,20,Himachal Pradesh,797,115
21525,Vodafone,LTower, 827.00 ,Bulbul,38,Jharkhand,554,168
21526,BSNL,MTower, 344.00 ,Kite,26,Karnataka,291,289
21527,Idea,LTower, 586.00 ,Bulbul,67,Kerala,187,104
21528,Jio,GTower, 412.00 ,Sparrow,25,Madhya Pradesh,390,131
21529,Jio,GTower, 316.00 ,Spotted Dove,65,Maharashtra,593,257
21530,Airtel,MTower, 644.00 ,Kite,62,Manipur,111,250
21531,BSNL,LTower, 358.00 ,Bulbul,29,Meghalaya,361,163
21532,Vodafone,MTower, 380.00 ,Sparrow,52,Mizoram,800,233
21533,Idea,GTower, 494.00 ,Spotted Dove,72,Nagaland,194,219
21534,BSNL,LTower, 792.00 ,Bulbul,37,Odisha,666,137
21535,Jio,MTower, 893.00 ,Kite,58,Punjab,260,226
21536,Airtel,GTower, 850.00 ,Sparrow,32,Rajasthan,107,167
21537,Vodafone,LTower, 825.00 ,Spotted Dove,74,Sikkim,696,203
21538,BSNL,GTower, 689.00 ,Kite,40,Tamil Nadu,695,93
21539,Idea,LTower, 595.00 ,Bulbul,34,Telangana,526,273
21540,Jio,MTower, 891.00 ,Sparrow,47,Tripura,186,214
21541,Jio,LTower, 432.00 ,Bulbul,33,Uttarakhand,455,170
21542,Airtel,GTower, 361.00 ,Kite,37,Uttar Pradesh,309,218
21543,BSNL,GTower, 307.00 ,Spotted Dove,25,West Bengal,327,185
21544,Vodafone,MTower, 727.00 ,Sparrow,68,Andhra Pradesh,175,213
21545,Idea,LTower, 727.00 ,Sparrow,53,Arunachal Pradesh,171,225
21546,BSNL,MTower, 556.00 ,Bulbul,55,Assam,842,102
21547,Jio,GTower, 473.00 ,Kite,43,Bihar,544,283
21548,Airtel,LTower, 441.00 ,Bulbul,33,Chhattisgarh,399,241
21549,Vodafone,MTower, 816.00 ,Sparrow,61,Goa,154,205
21550,BSNL,GTower, 630.00 ,Spotted Dove,29,Gujarat,169,174
21551,Idea,LTower, 495.00 ,Kite,75,Haryana,711,214
21552,Jio,GTower, 745.00 ,Bulbul,74,Andhra Pradesh,110,195
21553,Jio,LTower, 703.00 ,Sparrow,56,Arunachal Pradesh,654,297
21554,Airtel,MTower, 569.00 ,Spotted Dove,78,Assam,167,270
21555,BSNL,LTower, 479.00 ,Bulbul,80,Bihar,771,245
21556,Vodafone,GTower, 502.00 ,Kite,29,Chhattisgarh,315,213
21557,Idea,GTower, 848.00 ,Sparrow,32,Goa,742,197
21558,BSNL,MTower, 704.00 ,Spotted Dove,56,Gujarat,892,89
21559,Jio,LTower, 647.00 ,Kite,53,Haryana,779,92
21560,Airtel,MTower, 756.00 ,Bulbul,38,Himachal Pradesh,257,96
21561,Vodafone,GTower, 738.00 ,Sparrow,52,Jharkhand,105,300
21562,BSNL,LTower, 325.00 ,Bulbul,77,Karnataka,831,201
21563,Idea,MTower, 438.00 ,Kite,73,Kerala,416,109
21564,Jio,GTower, 387.00 ,Spotted Dove,75,Madhya Pradesh,769,105
21565,Jio,LTower, 464.00 ,Sparrow,58,Maharashtra,652,278
21566,Airtel,GTower, 579.00 ,Sparrow,56,Manipur,662,187
21567,BSNL,LTower, 633.00 ,Bulbul,23,Meghalaya,711,112
21568,Vodafone,MTower, 729.00 ,Kite,58,Mizoram,633,198
21569,Idea,LTower, 567.00 ,Bulbul,69,Nagaland,574,285
21570,BSNL,GTower, 501.00 ,Sparrow,53,Odisha,194,164
21571,Jio,GTower, 643.00 ,Spotted Dove,77,Punjab,568,110
21572,Airtel,MTower, 753.00 ,Kite,56,Rajasthan,592,243
21573,Vodafone,LTower, 592.00 ,Bulbul,72,Sikkim,380,96
21574,BSNL,MTower, 849.00 ,Sparrow,33,Tamil Nadu,297,151
21575,Idea,GTower, 844.00 ,Spotted Dove,53,Telangana,202,67
21576,Jio,LTower, 825.00 ,Bulbul,23,Tripura,137,244
21577,Jio,MTower, 723.00 ,Kite,45,Uttarakhand,548,215
21578,Airtel,GTower, 898.00 ,Sparrow,66,Uttar Pradesh,357,249
21579,BSNL,LTower, 833.00 ,Spotted Dove,75,West Bengal,861,258
21580,Vodafone,GTower, 754.00 ,Kite,21,Andhra Pradesh,790,225
21581,Idea,LTower, 626.00 ,Bulbul,25,Arunachal Pradesh,418,130
21582,BSNL,MTower, 869.00 ,Sparrow,27,Assam,519,174
21583,Jio,LTower, 658.00 ,Bulbul,25,Bihar,359,225
21584,Airtel,GTower, 790.00 ,Kite,66,Chhattisgarh,859,282
21585,Vodafone,GTower, 653.00 ,Spotted Dove,27,Goa,866,120
21586,BSNL,MTower, 495.00 ,Sparrow,56,Gujarat,769,295
21587,Idea,LTower, 516.00 ,Sparrow,22,Haryana,254,145
21588,Jio,MTower, 623.00 ,Bulbul,40,Himachal Pradesh,555,280
21589,Jio,GTower, 492.00 ,Kite,41,Jharkhand,201,277
21590,Airtel,LTower, 854.00 ,Bulbul,48,Karnataka,814,287
21591,BSNL,MTower, 754.00 ,Sparrow,80,Kerala,562,251
21592,Vodafone,GTower, 714.00 ,Spotted Dove,22,Madhya Pradesh,663,231
21593,Idea,LTower, 583.00 ,Kite,69,Maharashtra,407,162
21594,BSNL,GTower, 733.00 ,Bulbul,57,Manipur,274,105
21595,Jio,LTower, 818.00 ,Sparrow,31,Meghalaya,829,174
21596,Airtel,MTower, 648.00 ,Spotted Dove,71,Mizoram,355,95
21597,Vodafone,LTower, 415.00 ,Bulbul,30,Nagaland,865,161
21598,BSNL,GTower, 618.00 ,Kite,50,Odisha,644,163
21599,Idea,GTower, 534.00 ,Sparrow,44,Punjab,586,233
21600,Jio,MTower, 489.00 ,Spotted Dove,52,Rajasthan,517,161
21601,Jio,LTower, 760.00 ,Kite,24,Sikkim,739,157
21602,Airtel,MTower, 677.00 ,Bulbul,33,Tamil Nadu,346,252
21603,BSNL,GTower, 439.00 ,Sparrow,77,Telangana,652,93
21604,Vodafone,LTower, 815.00 ,Bulbul,38,Tripura,575,158
21605,Idea,MTower, 676.00 ,Kite,68,Uttarakhand,619,257
21606,BSNL,GTower, 332.00 ,Spotted Dove,41,Uttar Pradesh,157,150
21607,Jio,LTower, 704.00 ,Sparrow,77,West Bengal,425,187
21608,Airtel,GTower, 730.00 ,Sparrow,23,Andhra Pradesh,666,297
21609,Vodafone,LTower, 680.00 ,Bulbul,66,Arunachal Pradesh,435,247
21610,BSNL,MTower, 661.00 ,Kite,39,Assam,716,230
21611,Idea,LTower, 349.00 ,Bulbul,51,Bihar,408,51
21612,Jio,GTower, 537.00 ,Sparrow,31,Chhattisgarh,805,159
21613,Jio,GTower, 590.00 ,Spotted Dove,47,Goa,683,292
21614,Airtel,MTower, 638.00 ,Kite,79,Gujarat,232,57
21615,BSNL,LTower, 680.00 ,Bulbul,31,Haryana,773,97
21616,Vodafone,MTower, 738.00 ,Sparrow,63,Andhra Pradesh,860,242
21617,Idea,GTower, 682.00 ,Spotted Dove,64,Arunachal Pradesh,532,157
21618,BSNL,LTower, 760.00 ,Bulbul,72,Assam,200,231
21619,Jio,MTower, 412.00 ,Kite,53,Bihar,327,278
21620,Airtel,GTower, 477.00 ,Sparrow,67,Chhattisgarh,248,290
21621,Vodafone,LTower, 694.00 ,Spotted Dove,34,Goa,721,115
21622,BSNL,GTower, 357.00 ,Kite,54,Gujarat,874,130
21623,Idea,LTower, 437.00 ,Bulbul,62,Haryana,871,300
21624,Jio,MTower, 526.00 ,Sparrow,66,Himachal Pradesh,292,102
21625,Jio,LTower, 716.00 ,Bulbul,30,Jharkhand,320,211
21626,Airtel,GTower, 338.00 ,Kite,77,Karnataka,337,265
21627,BSNL,GTower, 305.00 ,Spotted Dove,25,Kerala,390,292
21628,Vodafone,MTower, 900.00 ,Sparrow,53,Madhya Pradesh,501,269
21629,Idea,LTower, 758.00 ,Sparrow,43,Maharashtra,803,251
21630,BSNL,MTower, 799.00 ,Bulbul,76,Manipur,638,172
21631,Jio,GTower, 575.00 ,Kite,68,Meghalaya,886,206
21632,Airtel,LTower, 473.00 ,Bulbul,73,Mizoram,181,111
21633,Vodafone,MTower, 791.00 ,Sparrow,23,Nagaland,110,118
21634,BSNL,GTower, 508.00 ,Spotted Dove,48,Odisha,890,169
21635,Idea,LTower, 707.00 ,Kite,29,Punjab,126,260
21636,Jio,GTower, 437.00 ,Bulbul,37,Rajasthan,518,99
21637,Jio,LTower, 798.00 ,Sparrow,20,Sikkim,309,225
21638,Airtel,MTower, 372.00 ,Spotted Dove,75,Tamil Nadu,518,78
21639,BSNL,LTower, 536.00 ,Bulbul,26,Telangana,256,68
21640,Vodafone,GTower, 741.00 ,Kite,23,Tripura,488,249
21641,Idea,GTower, 410.00 ,Sparrow,53,Uttarakhand,585,151
21642,BSNL,MTower, 683.00 ,Spotted Dove,55,Uttar Pradesh,189,128
21643,Jio,LTower, 657.00 ,Kite,76,West Bengal,640,103
21644,Airtel,MTower, 406.00 ,Bulbul,26,Andhra Pradesh,862,247
21645,Vodafone,GTower, 584.00 ,Sparrow,35,Arunachal Pradesh,393,278
21646,BSNL,LTower, 838.00 ,Bulbul,33,Assam,329,261
21647,Idea,MTower, 496.00 ,Kite,76,Bihar,726,72
21648,Jio,GTower, 482.00 ,Spotted Dove,24,Chhattisgarh,253,287
21649,Jio,LTower, 873.00 ,Sparrow,36,Goa,853,145
21650,Airtel,GTower, 395.00 ,Sparrow,60,Gujarat,579,252
21651,BSNL,LTower, 722.00 ,Bulbul,70,Haryana,502,94
21652,Vodafone,MTower, 403.00 ,Kite,34,Himachal Pradesh,126,175
21653,Idea,LTower, 710.00 ,Bulbul,73,Jharkhand,346,126
21654,BSNL,GTower, 443.00 ,Sparrow,46,Karnataka,600,78
21655,Jio,GTower, 306.00 ,Spotted Dove,55,Kerala,404,130
21656,Airtel,MTower, 368.00 ,Kite,50,Madhya Pradesh,478,149
21657,Vodafone,LTower, 684.00 ,Bulbul,75,Maharashtra,817,231
21658,BSNL,MTower, 638.00 ,Sparrow,29,Manipur,698,266
21659,Idea,GTower, 427.00 ,Spotted Dove,71,Meghalaya,643,228
21660,Jio,LTower, 390.00 ,Bulbul,77,Mizoram,277,103
21661,Jio,MTower, 597.00 ,Kite,64,Nagaland,477,52
21662,Airtel,GTower, 444.00 ,Sparrow,53,Odisha,565,80
21663,BSNL,LTower, 882.00 ,Spotted Dove,21,Punjab,317,125
21664,Vodafone,GTower, 775.00 ,Kite,80,Rajasthan,129,189
21665,Idea,LTower, 797.00 ,Bulbul,68,Sikkim,326,190
21666,BSNL,MTower, 640.00 ,Sparrow,59,Tamil Nadu,292,89
21667,Jio,LTower, 388.00 ,Bulbul,49,Telangana,853,167
21668,Airtel,GTower, 881.00 ,Kite,23,Tripura,305,259
21669,Vodafone,GTower, 493.00 ,Spotted Dove,32,Uttarakhand,870,292
21670,BSNL,MTower, 364.00 ,Sparrow,53,Uttar Pradesh,683,224
21671,Idea,LTower, 574.00 ,Sparrow,43,West Bengal,148,170
21672,Jio,MTower, 705.00 ,Bulbul,23,Andhra Pradesh,242,208
21673,Jio,GTower, 643.00 ,Kite,21,Arunachal Pradesh,223,167
21674,Airtel,LTower, 658.00 ,Bulbul,72,Assam,551,218
21675,BSNL,MTower, 371.00 ,Sparrow,72,Bihar,724,102
21676,Vodafone,GTower, 465.00 ,Spotted Dove,58,Chhattisgarh,846,264
21677,Idea,LTower, 863.00 ,Kite,32,Goa,192,294
21678,BSNL,GTower, 524.00 ,Bulbul,54,Gujarat,670,234
21679,Jio,LTower, 480.00 ,Sparrow,61,Haryana,900,201
21680,Airtel,MTower, 833.00 ,Spotted Dove,39,Andhra Pradesh,419,292
21681,Vodafone,LTower, 353.00 ,Bulbul,42,Arunachal Pradesh,124,80
21682,BSNL,GTower, 519.00 ,Kite,26,Assam,485,154
21683,Idea,GTower, 672.00 ,Sparrow,57,Bihar,482,190
21684,Jio,MTower, 620.00 ,Spotted Dove,76,Chhattisgarh,441,299
21685,Jio,LTower, 440.00 ,Kite,70,Goa,814,135
21686,Airtel,MTower, 756.00 ,Bulbul,50,Gujarat,498,256
21687,BSNL,GTower, 316.00 ,Sparrow,25,Haryana,629,160
21688,Vodafone,LTower, 387.00 ,Bulbul,70,Himachal Pradesh,375,181
21689,Idea,MTower, 862.00 ,Kite,44,Jharkhand,898,290
21690,BSNL,GTower, 556.00 ,Spotted Dove,53,Karnataka,448,88
21691,Jio,LTower, 611.00 ,Sparrow,30,Kerala,350,242
21692,Airtel,GTower, 483.00 ,Sparrow,76,Madhya Pradesh,819,124
21693,Vodafone,LTower, 857.00 ,Bulbul,73,Maharashtra,606,282
21694,BSNL,MTower, 331.00 ,Kite,58,Manipur,536,293
21695,Idea,LTower, 393.00 ,Bulbul,68,Meghalaya,122,242
21696,Jio,GTower, 625.00 ,Sparrow,40,Mizoram,488,150
21697,Jio,GTower, 639.00 ,Spotted Dove,22,Nagaland,785,201
21698,Airtel,MTower, 693.00 ,Kite,52,Odisha,849,281
21699,BSNL,LTower, 844.00 ,Bulbul,32,Punjab,610,119
21700,Vodafone,MTower, 502.00 ,Sparrow,74,Rajasthan,182,166
21701,Idea,GTower, 547.00 ,Spotted Dove,35,Sikkim,892,197
21702,BSNL,LTower, 485.00 ,Bulbul,37,Tamil Nadu,815,164
21703,Jio,MTower, 580.00 ,Kite,27,Telangana,405,121
21704,Airtel,GTower, 636.00 ,Sparrow,72,Tripura,752,183
21705,Vodafone,LTower, 562.00 ,Spotted Dove,57,Uttarakhand,833,56
21706,BSNL,GTower, 720.00 ,Kite,21,Uttar Pradesh,122,112
21707,Idea,LTower, 866.00 ,Bulbul,71,West Bengal,734,113
21708,Jio,MTower, 694.00 ,Sparrow,22,Andhra Pradesh,622,248
21709,Jio,LTower, 504.00 ,Bulbul,54,Arunachal Pradesh,383,146
21710,Airtel,GTower, 626.00 ,Kite,63,Assam,274,126
21711,BSNL,GTower, 402.00 ,Spotted Dove,56,Bihar,621,241
21712,Vodafone,MTower, 596.00 ,Sparrow,30,Chhattisgarh,349,260
21713,Idea,LTower, 525.00 ,Sparrow,56,Goa,545,144
21714,BSNL,MTower, 534.00 ,Bulbul,54,Gujarat,452,89
21715,Jio,GTower, 627.00 ,Kite,72,Haryana,811,62
21716,Airtel,LTower, 872.00 ,Bulbul,62,Himachal Pradesh,676,64
21717,Vodafone,MTower, 329.00 ,Sparrow,35,Jharkhand,790,277
21718,BSNL,GTower, 888.00 ,Spotted Dove,62,Karnataka,858,287
21719,Idea,LTower, 822.00 ,Kite,73,Kerala,587,122
21720,Jio,GTower, 870.00 ,Bulbul,44,Madhya Pradesh,310,69
21721,Jio,LTower, 334.00 ,Sparrow,47,Maharashtra,127,229
21722,Airtel,MTower, 825.00 ,Spotted Dove,64,Manipur,306,186
21723,BSNL,LTower, 451.00 ,Bulbul,78,Meghalaya,252,300
21724,Vodafone,GTower, 865.00 ,Kite,75,Mizoram,580,226
21725,Idea,GTower, 543.00 ,Sparrow,45,Nagaland,487,266
21726,BSNL,MTower, 455.00 ,Spotted Dove,50,Odisha,693,269
21727,Jio,LTower, 835.00 ,Kite,53,Punjab,301,211
21728,Airtel,MTower, 682.00 ,Bulbul,61,Rajasthan,575,107
21729,Vodafone,GTower, 800.00 ,Sparrow,53,Sikkim,257,75
21730,BSNL,LTower, 416.00 ,Bulbul,51,Tamil Nadu,879,153
21731,Idea,MTower, 767.00 ,Kite,77,Telangana,372,102
21732,Jio,GTower, 891.00 ,Spotted Dove,53,Tripura,653,283
21733,Jio,LTower, 616.00 ,Sparrow,47,Uttarakhand,365,264
21734,Airtel,GTower, 596.00 ,Sparrow,20,Uttar Pradesh,251,271
21735,BSNL,LTower, 470.00 ,Bulbul,63,West Bengal,359,85
21736,Vodafone,MTower, 527.00 ,Kite,22,Andhra Pradesh,230,96
21737,Idea,LTower, 849.00 ,Bulbul,27,Arunachal Pradesh,433,108
21738,BSNL,GTower, 753.00 ,Sparrow,20,Assam,506,222
21739,Jio,GTower, 560.00 ,Spotted Dove,38,Bihar,614,211
21740,Airtel,MTower, 714.00 ,Kite,41,Chhattisgarh,372,240
21741,Vodafone,LTower, 331.00 ,Bulbul,42,Goa,363,147
21742,BSNL,MTower, 515.00 ,Sparrow,50,Gujarat,766,58
21743,Idea,GTower, 893.00 ,Spotted Dove,39,Haryana,287,256
21744,Jio,LTower, 486.00 ,Bulbul,72,Andhra Pradesh,465,178
21745,Jio,MTower, 460.00 ,Kite,56,Arunachal Pradesh,300,113
21746,Airtel,GTower, 405.00 ,Sparrow,47,Assam,690,126
21747,BSNL,LTower, 606.00 ,Spotted Dove,79,Bihar,442,171
21748,Vodafone,GTower, 865.00 ,Kite,68,Chhattisgarh,368,108
21749,Idea,LTower, 325.00 ,Bulbul,56,Goa,300,84
21750,BSNL,MTower, 866.00 ,Sparrow,22,Gujarat,638,202
21751,Jio,LTower, 334.00 ,Bulbul,24,Haryana,659,299
21752,Airtel,GTower, 507.00 ,Kite,55,Himachal Pradesh,311,239
21753,Vodafone,GTower, 307.00 ,Spotted Dove,71,Jharkhand,679,122
21754,BSNL,MTower, 316.00 ,Sparrow,58,Karnataka,428,222
21755,Idea,LTower, 642.00 ,Sparrow,73,Kerala,168,198
21756,Jio,MTower, 555.00 ,Bulbul,72,Madhya Pradesh,630,199
21757,Jio,GTower, 715.00 ,Kite,46,Maharashtra,542,295
21758,Airtel,LTower, 865.00 ,Bulbul,62,Manipur,374,50
21759,BSNL,MTower, 599.00 ,Sparrow,41,Meghalaya,127,136
21760,Vodafone,GTower, 512.00 ,Spotted Dove,22,Mizoram,469,196
21761,Idea,LTower, 455.00 ,Kite,41,Nagaland,441,260
21762,BSNL,GTower, 621.00 ,Bulbul,60,Odisha,377,287
21763,Jio,LTower, 361.00 ,Sparrow,77,Punjab,151,223
21764,Airtel,MTower, 475.00 ,Spotted Dove,51,Rajasthan,492,125
21765,Vodafone,LTower, 860.00 ,Bulbul,22,Sikkim,431,101
21766,BSNL,GTower, 668.00 ,Kite,29,Tamil Nadu,611,215
21767,Idea,GTower, 483.00 ,Sparrow,36,Telangana,732,256
21768,Jio,MTower, 691.00 ,Spotted Dove,53,Tripura,170,148
21769,Jio,LTower, 354.00 ,Kite,55,Uttarakhand,231,294
21770,Airtel,MTower, 560.00 ,Bulbul,37,Uttar Pradesh,283,229
21771,BSNL,GTower, 618.00 ,Sparrow,61,West Bengal,454,115
21772,Vodafone,LTower, 803.00 ,Bulbul,25,Andhra Pradesh,652,190
21773,Idea,MTower, 498.00 ,Kite,63,Arunachal Pradesh,636,75
21774,BSNL,GTower, 650.00 ,Spotted Dove,57,Assam,649,236
21775,Jio,LTower, 513.00 ,Sparrow,25,Bihar,524,247
21776,Airtel,GTower, 470.00 ,Sparrow,68,Chhattisgarh,899,167
21777,Vodafone,LTower, 715.00 ,Bulbul,44,Goa,110,210
21778,BSNL,MTower, 795.00 ,Kite,49,Gujarat,742,161
21779,Idea,LTower, 529.00 ,Bulbul,26,Haryana,326,238
21780,Jio,GTower, 772.00 ,Sparrow,38,Himachal Pradesh,854,175
21781,Jio,GTower, 368.00 ,Spotted Dove,75,Jharkhand,231,99
21782,Airtel,MTower, 772.00 ,Kite,65,Karnataka,337,296
21783,BSNL,LTower, 537.00 ,Bulbul,54,Kerala,672,81
21784,Vodafone,MTower, 337.00 ,Sparrow,20,Madhya Pradesh,417,51
21785,Idea,GTower, 685.00 ,Spotted Dove,38,Maharashtra,795,146
21786,BSNL,LTower, 589.00 ,Bulbul,23,Manipur,474,260
21787,Jio,MTower, 300.00 ,Kite,27,Meghalaya,790,65
21788,Airtel,GTower, 357.00 ,Sparrow,55,Mizoram,293,217
21789,Vodafone,LTower, 546.00 ,Spotted Dove,32,Nagaland,830,117
21790,BSNL,GTower, 369.00 ,Kite,69,Odisha,256,163
21791,Idea,LTower, 860.00 ,Bulbul,69,Punjab,817,209
21792,Jio,MTower, 482.00 ,Sparrow,77,Rajasthan,634,247
21793,Jio,LTower, 541.00 ,Bulbul,46,Sikkim,825,280
21794,Airtel,GTower, 728.00 ,Kite,34,Tamil Nadu,727,263
21795,BSNL,GTower, 626.00 ,Spotted Dove,70,Telangana,577,188
21796,Vodafone,MTower, 800.00 ,Sparrow,39,Tripura,888,58
21797,Idea,LTower, 548.00 ,Sparrow,20,Uttarakhand,173,223
21798,BSNL,MTower, 677.00 ,Bulbul,76,Uttar Pradesh,691,234
21799,Jio,GTower, 563.00 ,Kite,49,West Bengal,452,57
21800,Airtel,LTower, 342.00 ,Bulbul,45,Andhra Pradesh,339,210
21801,Vodafone,MTower, 547.00 ,Sparrow,20,Arunachal Pradesh,276,80
21802,BSNL,GTower, 701.00 ,Spotted Dove,22,Assam,297,103
21803,Idea,LTower, 544.00 ,Kite,79,Bihar,698,53
21804,Jio,GTower, 423.00 ,Bulbul,49,Chhattisgarh,492,299
21805,Jio,LTower, 367.00 ,Sparrow,70,Goa,678,156
21806,Airtel,MTower, 604.00 ,Spotted Dove,53,Gujarat,456,229
21807,BSNL,LTower, 613.00 ,Bulbul,60,Haryana,205,121
21808,Vodafone,GTower, 646.00 ,Kite,78,Andhra Pradesh,481,212
21809,Idea,GTower, 897.00 ,Sparrow,38,Arunachal Pradesh,900,300
21810,BSNL,MTower, 452.00 ,Spotted Dove,38,Assam,764,205
21811,Jio,LTower, 862.00 ,Kite,37,Bihar,647,239
21812,Airtel,MTower, 446.00 ,Bulbul,26,Chhattisgarh,241,153
21813,Vodafone,GTower, 445.00 ,Sparrow,28,Goa,422,234
21814,BSNL,LTower, 792.00 ,Bulbul,78,Gujarat,666,66
21815,Idea,MTower, 450.00 ,Kite,34,Haryana,310,198
21816,Jio,GTower, 777.00 ,Spotted Dove,54,Himachal Pradesh,285,178
21817,Jio,LTower, 520.00 ,Sparrow,56,Jharkhand,542,213
21818,Airtel,GTower, 395.00 ,Sparrow,43,Karnataka,117,120
21819,BSNL,LTower, 737.00 ,Bulbul,79,Kerala,664,159
21820,Vodafone,MTower, 804.00 ,Kite,20,Madhya Pradesh,140,171
21821,Idea,LTower, 363.00 ,Bulbul,39,Maharashtra,166,111
21822,BSNL,GTower, 520.00 ,Sparrow,41,Manipur,591,271
21823,Jio,GTower, 610.00 ,Spotted Dove,41,Meghalaya,233,231
21824,Airtel,MTower, 826.00 ,Kite,26,Mizoram,201,234
21825,Vodafone,LTower, 817.00 ,Bulbul,57,Nagaland,573,193
21826,BSNL,MTower, 623.00 ,Sparrow,63,Odisha,787,197
21827,Idea,GTower, 541.00 ,Spotted Dove,47,Punjab,624,109
21828,Jio,LTower, 748.00 ,Bulbul,51,Rajasthan,450,64
21829,Jio,MTower, 756.00 ,Kite,60,Sikkim,172,169
21830,Airtel,GTower, 688.00 ,Sparrow,77,Tamil Nadu,456,248
21831,BSNL,LTower, 806.00 ,Spotted Dove,57,Telangana,411,94
21832,Vodafone,GTower, 841.00 ,Kite,74,Tripura,155,214
21833,Idea,LTower, 705.00 ,Bulbul,34,Uttarakhand,165,93
21834,BSNL,MTower, 820.00 ,Sparrow,26,Uttar Pradesh,310,173
21835,Jio,LTower, 371.00 ,Bulbul,70,West Bengal,217,242
21836,Airtel,GTower, 579.00 ,Kite,72,Andhra Pradesh,652,152
21837,Vodafone,GTower, 813.00 ,Spotted Dove,27,Arunachal Pradesh,391,256
21838,BSNL,MTower, 595.00 ,Sparrow,67,Assam,536,177
21839,Idea,LTower, 872.00 ,Sparrow,22,Bihar,559,100
21840,Jio,MTower, 478.00 ,Bulbul,42,Chhattisgarh,545,67
21841,Jio,GTower, 697.00 ,Kite,40,Goa,119,133
21842,Airtel,LTower, 644.00 ,Bulbul,20,Gujarat,411,225
21843,BSNL,MTower, 677.00 ,Sparrow,69,Haryana,207,51
21844,Vodafone,GTower, 807.00 ,Spotted Dove,48,Himachal Pradesh,788,142
21845,Idea,LTower, 636.00 ,Kite,63,Jharkhand,557,160
21846,BSNL,GTower, 588.00 ,Bulbul,33,Karnataka,531,208
21847,Jio,LTower, 663.00 ,Sparrow,35,Kerala,285,270
21848,Airtel,MTower, 601.00 ,Spotted Dove,30,Madhya Pradesh,423,76
21849,Vodafone,LTower, 547.00 ,Bulbul,49,Maharashtra,433,193
21850,BSNL,GTower, 585.00 ,Kite,76,Manipur,303,141
21851,Idea,GTower, 370.00 ,Sparrow,59,Meghalaya,565,170
21852,Jio,MTower, 684.00 ,Spotted Dove,68,Mizoram,626,235
21853,Jio,LTower, 768.00 ,Kite,53,Nagaland,307,256
21854,Airtel,MTower, 492.00 ,Bulbul,80,Odisha,460,167
21855,BSNL,GTower, 670.00 ,Sparrow,31,Punjab,680,54
21856,Vodafone,LTower, 308.00 ,Bulbul,74,Rajasthan,602,294
21857,Idea,MTower, 635.00 ,Kite,63,Sikkim,143,284
21858,BSNL,GTower, 527.00 ,Spotted Dove,60,Tamil Nadu,126,118
21859,Jio,LTower, 386.00 ,Sparrow,75,Telangana,560,130
21860,Airtel,GTower, 340.00 ,Sparrow,67,Tripura,230,188
21861,Vodafone,LTower, 849.00 ,Bulbul,75,Uttarakhand,533,246
21862,BSNL,MTower, 676.00 ,Kite,74,Uttar Pradesh,112,146
21863,Idea,LTower, 826.00 ,Bulbul,27,West Bengal,721,80
21864,Jio,GTower, 609.00 ,Sparrow,53,Andhra Pradesh,850,271
21865,Jio,GTower, 343.00 ,Spotted Dove,64,Arunachal Pradesh,637,108
21866,Airtel,MTower, 403.00 ,Kite,72,Assam,193,157
21867,BSNL,LTower, 353.00 ,Bulbul,34,Bihar,105,187
21868,Vodafone,MTower, 495.00 ,Sparrow,31,Chhattisgarh,790,165
21869,Idea,GTower, 468.00 ,Spotted Dove,79,Goa,694,296
21870,BSNL,LTower, 301.00 ,Bulbul,71,Gujarat,624,257
21871,Jio,MTower, 634.00 ,Kite,21,Haryana,564,291
21872,Airtel,GTower, 832.00 ,Sparrow,57,Andhra Pradesh,441,133
21873,Vodafone,LTower, 499.00 ,Spotted Dove,73,Arunachal Pradesh,760,207
21874,BSNL,GTower, 705.00 ,Kite,36,Assam,275,157
21875,Idea,LTower, 476.00 ,Bulbul,27,Bihar,706,90
21876,Jio,MTower, 780.00 ,Sparrow,30,Chhattisgarh,530,244
21877,Jio,LTower, 877.00 ,Bulbul,44,Goa,638,270
21878,Airtel,GTower, 645.00 ,Kite,53,Gujarat,723,60
21879,BSNL,GTower, 446.00 ,Spotted Dove,41,Haryana,300,237
21880,Vodafone,MTower, 309.00 ,Sparrow,25,Himachal Pradesh,285,60
21881,Idea,LTower, 459.00 ,Sparrow,38,Jharkhand,349,75
21882,BSNL,MTower, 365.00 ,Bulbul,23,Karnataka,642,85
21883,Jio,GTower, 630.00 ,Kite,51,Kerala,340,91
21884,Airtel,LTower, 492.00 ,Bulbul,30,Madhya Pradesh,107,144
21885,Vodafone,MTower, 349.00 ,Sparrow,80,Maharashtra,721,148
21886,BSNL,GTower, 488.00 ,Spotted Dove,34,Manipur,355,196
